"function_name"	"argument"	"required"	"default"	"description"
"%=%"	"a"	TRUE	""	"character or dataframe"
"%=%"	"b"	TRUE	""	"one or more character"
"add_col"	"data"	TRUE	""	"dataframe"
"add_col"	"colname"	FALSE	"NULL"	"new column name"
"add_col"	"value"	FALSE	"NULL"	"value"
"add_col"	"condition"	FALSE	"NULL"	"condition"
"add_col"	"position"	FALSE	"NULL"	"position"
"add_col.data.frame"	"data"	TRUE	""	""
"add_col.data.frame"	"colname"	FALSE	"NULL"	""
"add_col.data.frame"	"value"	FALSE	"NULL"	""
"add_col.data.frame"	"condition"	FALSE	"NULL"	""
"add_col.data.frame"	"position"	FALSE	"NULL"	""
"add_col.survey.design"	"data"	TRUE	""	""
"add_col.survey.design"	"colname"	FALSE	"NULL"	""
"add_col.survey.design"	"value"	FALSE	"NULL"	""
"add_col.survey.design"	"condition"	FALSE	"NULL"	""
"add_col.survey.design"	"position"	FALSE	"NULL"	""
"add_color_to_text"	"text"	TRUE	""	""
"add_color_to_text"	"key"	TRUE	""	""
"add_color_to_text"	"color"	TRUE	""	""
"add_masc"	"d"	TRUE	""	""
"add_masc"	"ex_col"	FALSE	"NULL"	""
"add_style"	"x"	TRUE	""	""
"add_style"	"selector"	FALSE	"NULL"	""
"add_style"	"n"	FALSE	"NULL"	""
"add_style"	"pseudo"	FALSE	"NULL"	""
"add_style"	"pseudo.link"	FALSE	"FALSE"	""
"add_style"	"pseudo.visited"	FALSE	"FALSE"	""
"add_style"	"pseudo.hover"	FALSE	"FALSE"	""
"add_style"	"pseudo.active"	FALSE	"FALSE"	""
"add_style"	"pseudo.checked"	FALSE	"FALSE"	""
"add_style"	"pseudo.disabled"	FALSE	"FALSE"	""
"add_style"	"pseudo.empty"	FALSE	"FALSE"	""
"add_style"	"pseudo.enabled"	FALSE	"FALSE"	""
"add_style"	"pseudo.first_child"	FALSE	"FALSE"	""
"add_style"	"pseudo.first_of_type"	FALSE	"FALSE"	""
"add_style"	"pseudo.focus"	FALSE	"FALSE"	""
"add_style"	"pseudo.in_range"	FALSE	"FALSE"	""
"add_style"	"pseudo.invalid"	FALSE	"FALSE"	""
"add_style"	"pseudo.lang"	FALSE	"FALSE"	""
"add_style"	"pseudo.last_child"	FALSE	"FALSE"	""
"add_style"	"pseudo.last_of_type"	FALSE	"FALSE"	""
"add_style"	"pseudo.not"	FALSE	"FALSE"	""
"add_style"	"pseudo.nth_child"	FALSE	"FALSE"	""
"add_style"	"pseudo.nth_last_child"	FALSE	"FALSE"	""
"add_style"	"pseudo.nth_last_of_type"	FALSE	"FALSE"	""
"add_style"	"pseudo.nth_of_type"	FALSE	"FALSE"	""
"add_style"	"pseudo.only_of_type"	FALSE	"FALSE"	""
"add_style"	"pseudo.only_child"	FALSE	"FALSE"	""
"add_style"	"pseudo.optional"	FALSE	"FALSE"	""
"add_style"	"pseudo.out_of_range"	FALSE	"FALSE"	""
"add_style"	"pseudo.read_only"	FALSE	"FALSE"	""
"add_style"	"pseudo.read_write"	FALSE	"FALSE"	""
"add_style"	"pseudo.required"	FALSE	"FALSE"	""
"add_style"	"pseudo.root"	FALSE	"FALSE"	""
"add_style"	"pseudo.target"	FALSE	"FALSE"	""
"add_style"	"pseudo.valid"	FALSE	"FALSE"	""
"add_style"	"pseudo.after"	FALSE	"FALSE"	""
"add_style"	"pseudo.before"	FALSE	"FALSE"	""
"add_style"	"pseudo.first_letter"	FALSE	"FALSE"	""
"add_style"	"pseudo.first_line"	FALSE	"FALSE"	""
"add_style"	"pseudo.selection"	FALSE	"FALSE"	""
"add_style"	"pseuded.selector"	FALSE	"NULL"	""
"add_style"	"opacity"	FALSE	"NULL"	""
"add_style"	"background"	FALSE	"NULL"	""
"add_style"	"background_color"	FALSE	"NULL"	""
"add_style"	"background_image"	FALSE	"NULL"	""
"add_style"	"background_size"	FALSE	"NULL"	""
"add_style"	"background_size.cover"	FALSE	"FALSE"	""
"add_style"	"background_size.contain"	FALSE	"FALSE"	""
"add_style"	"background_repeat"	FALSE	"NULL"	""
"add_style"	"background_repeat.no_repeat"	FALSE	"FALSE"	""
"add_style"	"background_repeat.repeat_x"	FALSE	"FALSE"	""
"add_style"	"background_repeat.repeat_y"	FALSE	"FALSE"	""
"add_style"	"background_position"	FALSE	"NULL"	""
"add_style"	"background_attachment.fixed"	FALSE	"FALSE"	""
"add_style"	"background_attachment.scroll"	FALSE	"FALSE"	""
"add_style"	"background_clip.border"	FALSE	"FALSE"	""
"add_style"	"background_clip.padding"	FALSE	"FALSE"	""
"add_style"	"background_clip.content"	FALSE	"FALSE"	""
"add_style"	"background_origin"	FALSE	"NULL"	""
"add_style"	"background_origin.border_box"	FALSE	"FALSE"	""
"add_style"	"background_origin.padding_box"	FALSE	"FALSE"	""
"add_style"	"background_origin.content_box"	FALSE	"FALSE"	""
"add_style"	"border"	FALSE	"NULL"	""
"add_style"	"border_style.dashed"	FALSE	"FALSE"	""
"add_style"	"border_style.dotted"	FALSE	"FALSE"	""
"add_style"	"border_style.double"	FALSE	"FALSE"	""
"add_style"	"border_style.groove"	FALSE	"FALSE"	""
"add_style"	"border_style.hidden"	FALSE	"FALSE"	""
"add_style"	"border_style.inset"	FALSE	"FALSE"	""
"add_style"	"border_style.none"	FALSE	"FALSE"	""
"add_style"	"border_style.outset"	FALSE	"FALSE"	""
"add_style"	"border_style.ridge"	FALSE	"FALSE"	""
"add_style"	"border_style.solid"	FALSE	"FALSE"	""
"add_style"	"border_left_style.dashed"	FALSE	"FALSE"	""
"add_style"	"border_left_style.dotted"	FALSE	"FALSE"	""
"add_style"	"border_left_style.double"	FALSE	"FALSE"	""
"add_style"	"border_left_style.groove"	FALSE	"FALSE"	""
"add_style"	"border_left_style.hidden"	FALSE	"FALSE"	""
"add_style"	"border_left_style.inset"	FALSE	"FALSE"	""
"add_style"	"border_left_style.none"	FALSE	"FALSE"	""
"add_style"	"border_left_style.outset"	FALSE	"FALSE"	""
